Title,Video ID,Published At,Keyword,Likes,Comments,Views,avg_comment_likes,total_comment_likes,num_comments,avg_sentiment,pos_comments,neg_comments,neu_comments,year,month,dayofweek,is_weekend,video_age_days,title_len_chars,title_len_words,title_exclamations,title_questions,title_emojis,title_upper_words,title_uppercase_ratio,title_has_numbers,likes_per_1000_views,comments_per_1000_views,comments_to_likes_ratio,share_pos_comments,share_neg_comments,share_neu_comments,kw_animals,kw_apple,kw_asmr,kw_bed,kw_biology,kw_business,kw_chess,kw_cnn,kw_computer science,kw_crypto,kw_cubes,kw_data science,kw_education,kw_finance,kw_food,kw_game development,kw_gaming,kw_google,kw_history,kw_how-to,kw_interview,kw_literature,kw_lofi,kw_machine learning,kw_marvel,kw_mathchemistry,kw_minecraft,kw_movies,kw_mrbeast,kw_mukbang,kw_music,kw_news,kw_nintendo,kw_physics,kw_reaction,kw_sat,kw_sports,kw_tech,kw_trolling,kw_tutorial,kw_xbox,log_Views,log_Likes,log_Comments,log_total_comment_likes,log_avg_comment_likes,Viral
What REALLY is Data Science? Told by a Data Scientist,xC-c7E5PK0Y,2018-06-23,data science,16394,864,573706,1280.0,12800,10,1.3,5,2,3,2018,6,5,1,1523,53,10,0,1,0,1,0.27906976744186046,0,28.57561189877742,1.5059978455864154,0.05270220812492375,0.5,0.2,0.3,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.259874092014567,9.704731689278749,6.762729506931879,9.45727857185611,7.155396301896734,0
Intro to Data Science - Crash Course for Beginners,N6BghzuFLIg,2019-03-04,data science,6386,115,122824,26.5,265,10,1.9,9,0,1,2019,3,0,0,1269,50,8,0,0,0,0,0.14634146341463414,0,51.99309581189345,0.9362990946394841,0.01800814281240213,0.9,0.0,0.1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.718515857036849,8.76201995356159,4.7535901911063645,5.583496308781699,3.3141860046725258,0
Why you should not be a data scientist,sOZ8MxFw8TQ,2021-09-19,data science,2216,360,87484,704.9,7049,10,1.3,4,1,5,2021,9,6,1,339,38,8,0,0,0,0,0.03225806451612903,0,25.33034612043345,4.115038178409766,0.1624548736462094,0.4,0.1,0.5,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.37922262907872,7.7039102096163115,5.8888779583328805,8.860782895806315,6.5594735844014265,0
How I Would Learn Data Science in 2022,Rt6eb9VOFII,2022-02-09,data science,2923,49,89486,14.5,145,10,1.8,9,1,0,2022,2,2,0,196,38,8,0,0,0,0,0.2222222222222222,1,32.66432738081935,0.5475716871912926,0.016763599042080055,0.9,0.1,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.401848642316294,7.980707820869669,3.912023005428146,4.983606621708336,2.740840023925201,0
The Harsh Reality of Being a Data Scientist,pn0PUY0jwGQ,2022-08-03,data science,2970,346,66888,44.9,449,10,0.8,1,3,6,2022,8,2,0,21,43,8,0,0,0,0,0.16666666666666666,0,44.402583423035516,5.1728262169596935,0.1164983164983165,0.1,0.3,0.6,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.110789808082927,7.9966538754626075,5.849324779946859,6.1092475827643655,3.8264651170664994,0
What Is Data Science? (Explained in 5 Minutes),uswU1s3M2VE,2021-05-20,data science,19444,766,609802,4.2,42,10,1.8,8,0,2,2021,5,3,0,461,46,8,0,1,0,0,0.17142857142857143,1,31.8857596400143,1.2561454373714747,0.039395186175684015,0.8,0.0,0.2,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.320891233169975,9.875345246589848,6.642486801367256,3.7612001156935624,1.6486586255873816,0
Data Science Career: (Is Becoming A Data Scientist ACTUALLY Worth It?),O9nf1CqjGzI,2022-02-25,data science,12111,467,266203,50.8,508,10,1.6,7,1,2,2022,2,4,0,180,70,11,0,1,0,1,0.32142857142857145,0,45.49535504859074,1.7543002896285917,0.03855998678886962,0.7,0.1,0.2,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.492018211126272,9.40195197567723,6.148468295917647,6.2324480165505225,3.9473901492654373,0
Data Scientist vs Data Analyst | Which Is Right For You?,fUpChfNN5Uo,2020-06-10,data science,4238,47,261889,97.5,975,10,1.7,8,1,1,2020,6,2,0,805,56,10,0,1,0,0,0.20454545454545456,0,16.182428433420267,0.17946534600536868,0.011090136857008022,0.8,0.1,0.1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.475679847254423,8.352082671352637,3.871201010907891,6.883462586413092,4.590056548178043,0
How I Would Learn Data Science in 2022 (If I Had to Start Over),xpIFS6jZbe8,2021-12-27,data science,630,86,11642,101.8,1018,10,1.8,8,0,2,2021,12,0,0,240,63,14,0,0,0,0,0.25,1,54.114413331042776,7.3870468991582205,0.1365079365079365,0.8,0.0,0.2,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9.362460420037015,6.447305862541213,4.465908118654584,6.926577033222725,4.632785353021065,0
🔥Data Science Full Course 2022 | Data Science | Data Science For Beginners | Simplilearn,xvEKQefqQ7A,2022-01-14,data science,2353,178,78038,3.7,37,10,1.7,7,0,3,2022,1,4,0,222,88,12,0,0,1,0,0.16666666666666666,1,30.15197724185653,2.2809400548450753,0.07564810879728007,0.7,0.0,0.3,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.26496398071338,7.763871287820222,5.187385805840755,3.6375861597263857,1.547562508716013,0
